Presentation Date,Poster Number,Tag,Type,Submission,Title
"June 20, 2023",1,TUE-AM-001,,2192,Megahertz light steering without moving parts
"June 20, 2023",2,TUE-AM-002,,1648,Robust Dynamic Radiance Fields
"June 20, 2023",3,TUE-AM-003,,320,DBARF: Deep Bundle-Adjusting Generalizable Neural Radiance Fields
"June 20, 2023",4,TUE-AM-004,,650,VDN-NeRF: Resolving Shape-Radiance Ambiguity via View-Dependence Normalization
"June 20, 2023",5,TUE-AM-005,,7058,AligNeRF: High-Fidelity Neural Radiance Fields via Alignment-Aware Training
"June 20, 2023",6,TUE-AM-006,,1034,SeaThru-NeRF: Neural Radiance Fields in Scattering Media
"June 20, 2023",7,TUE-AM-007,,7829,Exact-NeRF: An Exploration of a Precise Volumetric Parameterization for Neural Radiance Fields
"June 20, 2023",8,TUE-AM-008,,3019,Neural Residual Radiance Fields for Streamably Free-Viewpoint Videos
"June 20, 2023",9,TUE-AM-009,,8930,PlenVDB: Memory Efficient VDB-Based Radiance Fields for Fast Training and Rendering
"June 20, 2023",10,TUE-AM-010,,4953,Local Implicit Ray Function for Generalizable Radiance Field Representation
"June 20, 2023",11,TUE-AM-011,,5116,SurfelNeRF: Neural Surfel Radiance Fields for Online Photorealistic Reconstruction of Indoor Scenes
"June 20, 2023",12,TUE-AM-012,highlight,3647,Frequency-Modulated Point Cloud Rendering with Easy Editing
"June 20, 2023",13,TUE-AM-013,,1126,HexPlane: A Fast Representation for Dynamic Scenes
"June 20, 2023",14,TUE-AM-014,,6517,Differentiable Shadow Mapping for Efficient Inverse Graphics
"June 20, 2023",15,TUE-AM-015,,819,Hybrid Neural Rendering for Large-Scale Scenes with Motion Blur
"June 20, 2023",16,TUE-AM-016,,3553,TensoIR: Tensorial Inverse Rendering
"June 20, 2023",17,TUE-AM-017,,2293,ShadowNeuS: Neural SDF Reconstruction by Shadow Ray Supervision
"June 20, 2023",18,TUE-AM-018,,7040,Realistic Saliency Guided Image Enhancement
"June 20, 2023",19,TUE-AM-019,,2170,LightPainter: Interactive Portrait Relighting with Freehand Scribble
"June 20, 2023",20,TUE-AM-020,,9654,A Unified Spatial-Angular Structured Light for Single-View Acquisition of Shape and Reflectance
"June 20, 2023",21,TUE-AM-021,,8485,Learning Visibility Field for Detailed 3D Human Reconstruction and Relighting
"June 20, 2023",22,TUE-AM-022,,6419,Unsupervised Contour Tracking of Live Cells by Mechanical and Cycle Consistency Losses
"June 20, 2023",23,TUE-AM-023,,181,NeUDF: Leaning Neural Unsigned Distance Fields with Volume Rendering
"June 20, 2023",24,TUE-AM-024,,2230,NeAT: Learning Neural Implicit Surfaces with Arbitrary Topologies from Multi-view Images
"June 20, 2023",25,TUE-AM-025,,9982,ALTO: Alternating Latent Topologies for Implicit 3D Reconstruction
"June 20, 2023",26,TUE-AM-026,,6089,Controllable Mesh Generation Through Sparse Latent Point Diffusion Models
"June 20, 2023",27,TUE-AM-027,,6992,Power Bundle Adjustment for Large-Scale 3D Reconstruction
"June 20, 2023",28,TUE-AM-028,,4892,Neural Pixel Composition for 3D-4D View Synthesis from Multi-Views
"June 20, 2023",29,TUE-AM-029,highlight,658,Magic3D: High-Resolution Text-to-3D Content Creation
"June 20, 2023",30,TUE-AM-030,,1890,3D Video Loops from Asynchronous Input
"June 20, 2023",31,TUE-AM-031,,2746,High-fidelity 3D GAN Inversion by Pseudo-multi-view Optimization
"June 20, 2023",32,TUE-AM-032,,5534,Lift3D: Synthesize 3D Training Data by Lifting 2D GAN to 3D Generative Radiance Field
"June 20, 2023",33,TUE-AM-033,,10530,3D GAN Inversion with Facial Symmetry Prior
"June 20, 2023",34,TUE-AM-034,,3334,StyleIPSB: Identity-Preserving Semantic Basis of StyleGAN for High Fidelity Face Swapping
"June 20, 2023",35,TUE-AM-035,,6500,FFHQ-UV: Normalized Facial UV-Texture Dataset for 3D Face Reconstruction
"June 20, 2023",36,TUE-AM-036,,5884,Robust Model-based Face Reconstruction  through Weakly-Supervised Outlier Segmentation
"June 20, 2023",37,TUE-AM-037,,3695,Learning Neural Proto-face Field for Disentangled 3D Face Modeling In the Wild 
"June 20, 2023",38,TUE-AM-038,,7998,A Hierarchical Representation Network for Accurate and Detailed Face Reconstruction from In-The-Wild Images
"June 20, 2023",39,TUE-AM-039,,6966,BlendFields: Few-Shot Example-Driven Facial Modeling
"June 20, 2023",40,TUE-AM-040,,7056,Implicit Neural Head Synthesis via Controllable Local Deformation Fields
"June 20, 2023",41,TUE-AM-041,,7268,DPE: Disentanglement of Pose and Expression for General Video Portrait Editing
"June 20, 2023",42,TUE-AM-042,,4675,GANHead: Towards Generative Animatable Neural Head Avatars
"June 20, 2023",43,TUE-AM-043,,3426,EDGE: Editable Dance Generation From Music
"June 20, 2023",44,TUE-AM-044,,9161,Blowing in the Wind: CycleNet for Human Cinemagraphs from Still Images
"June 20, 2023",45,TUE-AM-045,,961,Generating Holistic 3D Human Motion from Speech
"June 20, 2023",46,TUE-AM-046,,9301,Avatars Grow Legs: Generating Smooth Human Motion from Sparse Tracking Inputs with Diffusion Model
"June 20, 2023",47,TUE-AM-047,,1311,Learning Anchor Transformations for 3D Garment Animation
"June 20, 2023",48,TUE-AM-048,,1132,CloSET: Modeling Clothed Humans on Continuous Surface with Explicit Template Decomposition
"June 20, 2023",49,TUE-AM-049,highlight,443,ECON: Explicit Clothed humans Optimized via Normal integration
